canal,video,data,video_view,video_like,video_comment
Brunim Neet's,FIZ O MELHOR REATOR NUCLEAR DO MODPACK! - DripCraft Ep.10,2021-10-27T16:00:06Z,176158,18460,304
Brunim Neet's,CONSEGUI UM SPAWNER DO GOBLIN DE TROCAS LENDÁRIAS NO MINECRAFT! - DripCraft Ep.09,2021-10-25T16:00:01Z,151760,17437,283
Brunim Neet's,"como transformar QUALQUER BLOCO em XP ""NÃO É CLICKBAIT""!! - DripCraft Ep.08",2021-10-24T20:00:01Z,161421,16784,262
Brunim Neet's,minecraft mas posso criar ITENS DE BEDROCK INQUEBRAVEIS!! - DripCraft Ep.07,2021-10-23T16:00:26Z,140422,15967,760
Brunim Neet's,A PRIMEIRA LOJA DO SERVER QUE TRIPLICA MINÉRIOS E JÁ FIZ A 1º VENDA!! - DripCraft Ep.06,2021-10-22T16:00:09Z,114448,13916,211
Brunim Neet's,FIZ A MELHOR MINERADORA AUTOMÁTICA DO MODPACK!! - DripCraft Ep.05,2021-10-19T16:00:12Z,135053,20881,300
Brunim Neet's,ESSA ESPADA FICA MAIS FORTE COM O TEMPO!! - DripCraft Ep.04,2021-10-18T16:00:21Z,141128,16723,629
Brunim Neet's,MINHA CASA INICIAL FICOU PERFEITA :3 - DripCraft Ep.03,2021-10-15T21:00:09Z,112958,17967,464
Brunim Neet's,ESSE GOBLIN FAZ TROCAS LENDÁRIAS NO MINECRAFT! - DripCraft Ep.02,2021-10-14T16:00:20Z,142856,20427,374
Brunim Neet's,MEGA SORTUDO! MELHOR ÍNICIO DE TODOS! - DripCraft Ep.01,2021-10-12T16:00:15Z,149513,21085,722
Brunim Neet's,O NOVO CRIMINOSO DA CIDADE FOI JULGADO!!! - TOPCRAFT - EP.29,2021-09-03T20:00:28Z,67052,10033,564
Brunim Neet's,É GUERRA! PEGUEI O CULPADO POR SABOTAR MEU PROJETO!!! - TOPCRAFT - EP.28,2021-08-31T22:00:18Z,68825,12329,416
Brunim Neet's,"o MAIOR PROJETO de TODA TOPCITY, da ALTURA 0 até 255 do MINECRAFT! - TOPCRAFT - EP.27",2021-08-29T22:00:12Z,81443,15303,622
Brunim Neet's,É O FIM DO CANAL? Explicações de tudo o que aconteceu.. assistam antes de concluírem qualquer coisa!,2021-08-27T22:00:15Z,177122,42887,2781
Brunim Neet's,ME AJUDEM! FIQUEI SEM NADA! ME ROUBARAM! - TOPCRAFT - EP.26,2021-08-19T22:00:04Z,67266,10368,509
Brunim Neet's,COMPREI OS MELHORES TERRENOS DA CIDADE PRA FICAR RICO! - TOPCRAFT - EP.25,2021-08-16T22:00:08Z,65124,9226,490
Brunim Neet's,ENTREI na ORGANIZAÇÃO PSI e DESCOBRI SEUS SEGREDOS! - TOPCRAFT - EP.24,2021-08-12T22:00:05Z,76109,10101,194
Brunim Neet's,FIZ UMA MESA DE PING PONG no PARK no MINECRAFT 1.17! - TOPCRAFT - EP.23,2021-08-09T22:00:25Z,99492,12606,458
Brunim Neet's,FIZ UM SISTEMA DE TELETRANSPORTE PARA FUGAS NO MINECRAFT 1.17! - TOPCRAFT - EP.22,2021-08-08T22:00:01Z,102877,13293,325
Brunim Neet's,GASTEI 4 MIL TNT's E FIZ O MAIOR BURACO DE TODOS EM TOPCRAFT! - TOPCRAFT - EP.21,2021-08-06T22:00:15Z,100353,14073,327
